Date(UTC),Pair,Side,Price,Executed,Amount,Fee,Exchange,BaseCurr,QuoteCurr,ExecutedAmt,ExecutedCurr,AmountAmt,AmountCurr,FeeAmt,FeeCurr
2022-09-16 22:20:12,BTCGBP,BUY,"17,296.6800000000",0.0093300000BTC,161.37802440GBP,0.0000000000BNB,Binance,BTC,GBP,0.0093300000,BTC,161.37802440,GBP,0.0000000000,BNB
2022-09-16 22:20:12,BTCGBP,BUY,"17,300.0000000000",0.0325700000BTC,563.46100000GBP,0.0000000000BNB,Binance,BTC,GBP,0.0325700000,BTC,563.46100000,GBP,0.0000000000,BNB
2022-09-16 22:20:12,BTCGBP,BUY,"17,295.7900000000",0.4746000000BTC,"8,208.58193400GBP",0.0000000000BNB,Binance,BTC,GBP,0.4746000000,BTC,"8,208.58193400",GBP,0.0000000000,BNB
2022-09-16 22:20:12,BTCGBP,BUY,"17,300.0000000000",0.0614900000BTC,"1,063.77700000GBP",0.0000000000BNB,Binance,BTC,GBP,0.0614900000,BTC,"1,063.77700000",GBP,0.0000000000,BNB
2022-09-16 22:14:08,BTCGBP,BUY,"17,309.5200000000",0.1889200000BTC,"3,270.11451840GBP",0.0000000000BNB,Binance,BTC,GBP,0.1889200000,BTC,"3,270.11451840",GBP,0.0000000000,BNB
2022-09-16 22:14:08,BTCGBP,BUY,"17,309.5200000000",0.0051200000BTC,88.62474240GBP,0.0000000000BNB,Binance,BTC,GBP,0.0051200000,BTC,88.62474240,GBP,0.0000000000,BNB
2022-09-16 22:14:08,BTCGBP,BUY,"17,309.5200000000",0.0051000000BTC,88.27855200GBP,0.0000000000BNB,Binance,BTC,GBP,0.0051000000,BTC,88.27855200,GBP,0.0000000000,BNB
2022-09-16 22:13:17,BTCGBP,BUY,"17,291.6200000000",0.0253100000BTC,437.65090220GBP,0.0000000000BNB,Binance,BTC,GBP,0.0253100000,BTC,437.65090220,GBP,0.0000000000,BNB
2022-09-16 22:13:17,BTCGBP,BUY,"17,291.6200000000",0.0174400000BTC,301.56585280GBP,0.0000000000BNB,Binance,BTC,GBP,0.0174400000,BTC,301.56585280,GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.1181500000BTC,"2,043.00490300GBP",0.0000000000BNB,Binance,BTC,GBP,0.1181500000,BTC,"2,043.00490300",GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.0223900000BTC,387.15937180GBP,0.0000000000BNB,Binance,BTC,GBP,0.0223900000,BTC,387.15937180,GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.0458300000BTC,792.47494460GBP,0.0000000000BNB,Binance,BTC,GBP,0.0458300000,BTC,792.47494460,GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.1000000000BTC,"1,729.16200000GBP",0.0000000000BNB,Binance,BTC,GBP,0.1000000000,BTC,"1,729.16200000",GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.0184800000BTC,319.54913760GBP,0.0000000000BNB,Binance,BTC,GBP,0.0184800000,BTC,319.54913760,GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.0135500000BTC,234.30145100GBP,0.0000000000BNB,Binance,BTC,GBP,0.0135500000,BTC,234.30145100,GBP,0.0000000000,BNB
2022-09-16 22:13:15,BTCGBP,BUY,"17,291.6200000000",0.0182700000BTC,315.91789740GBP,0.0000000000BNB,Binance,BTC,GBP,0.0182700000,BTC,315.91789740,GBP,0.0000000000,BNB
2022-09-11 16:20:07,BTCUSDT,BUY,"21,694.2900000000",0.0250000000BTC,542.35725000USDT,0.0000000000BNB,Binance,BTC,USDT,0.0250000000,BTC,542.35725000,USDT,0.0000000000,BNB
2022-09-11 16:20:07,BTCUSDT,BUY,"21,694.4100000000",0.1959900000BTC,"4,251.88741590USDT",0.0000000000BNB,Binance,BTC,USDT,0.1959900000,BTC,"4,251.88741590",USDT,0.0000000000,BNB
2022-09-11 16:20:07,BTCUSDT,BUY,"21,694.2900000000",0.1200000000BTC,"2,603.31480000USDT",0.0000000000BNB,Binance,BTC,USDT,0.1200000000,BTC,"2,603.31480000",USDT,0.0000000000,BNB
2022-09-11 16:20:07,BTCUSDT,BUY,"21,694.4200000000",0.5003800000BTC,"10,855.45387960USDT",0.0000000000BNB,Binance,BTC,USDT,0.5003800000,BTC,"10,855.45387960",USDT,0.0000000000,BNB
