Date,Type,Trading pair,Direction,Price,Order amount,Executed,Average Price,Status,
2023-12-29 23:42:47,GTC,TETUSDT_SPBL,Buy,20.8,35.6,35.6,20.7342747191011236,fully executed,
2023-12-29 23:42:06,GTC,AMPUSDT_SPBL,Buy,0.0037,556341.31,556341.31,0.0036371817469136,fully executed,
2023-12-29 23:41:46,GTC,AMPUSDT_SPBL,Buy,0.00363,556341.31,0,,cancelled,
2023-12-29 23:41:20,GTC,AMPUSDT_SPBL,Buy,0.003609,556341.31,0,,cancelled,
2023-12-29 23:38:38,GTC,QNTUSDT_SPBL,Buy,134,15.3445,15.3445,133.6543792889960573,fully executed,
2023-12-29 23:35:35,GTC,COQUSDT_SPBL,Buy,0.00000171,1174360860.62,1174360860.62,0.0000017098553076,fully executed,
2023-12-29 23:34:54,GTC,COQUSDT_SPBL,Buy,0.00000175,145001174.48,145001174.48,0.0000017062193809,fully executed,
2023-12-29 23:34:32,GTC,COQUSDT_SPBL,Buy,0.0000017,1199637896.53,1054636722.05,0.0000016999503129,cancelled,
2023-12-29 23:33:48,GTC,COQUSDT_SPBL,Buy,0.00000169,1212850544.79,13212648.26,0.00000169,cancelled,
2023-12-29 23:25:43,GTC,TETUSDT_SPBL,Buy,20.5,97.7,62.1,20.499699194847021,cancelled,
2023-12-29 23:24:10,GTC,TETUSDT_SPBL,Buy,20.4,98.2,0.5,20.4,cancelled,
2023-12-29 23:09:42,GTC,MYRIAUSDT_SPBL,Buy,0.00975,97990.51,97990.51,0.0097317064112638,fully executed,
2023-12-29 23:09:04,GTC,MYRIAUSDT_SPBL,Buy,0.00973,207094.31,109103.8,0.0097236053382193,cancelled,
2023-12-29 23:08:24,GTC,MYRIAUSDT_SPBL,Buy,0.00971,207094.31,0,,cancelled,
2023-12-29 23:07:17,GTC,MYRIAUSDT_SPBL,Buy,0.009699,207329.19,0,,cancelled,
2023-12-29 23:05:23,GTC,COQUSDT_SPBL,Buy,0.000001703,590395134.2,0,,cancelled,
2023-12-29 23:02:35,GTC,BTCUSDT_SPBL,Sell,41798.29,0.2995,0.2995,41798.3771686143572621,fully executed,
2023-12-28 02:28:42,GTC,KASUSDT_SPBL,Buy,0.108,38361,38361,0.1065536727926801,fully executed,
2023-12-28 02:27:17,GTC,BTCUSDT_SPBL,Sell,43429.73,0.0924,0.0924,43429.73,fully executed,
2023-12-28 02:12:34,GTC,ALUUSDT_SPBL,Buy,0.068,57885.56,57885.56,0.0679979328523384,fully executed,
2023-12-28 02:09:23,GTC,ALUUSDT_SPBL,Buy,0.067,61144.29,423.79,0.0667382859435098,cancelled,
2023-12-28 02:08:40,GTC,BTCUSDT_SPBL,Sell,43338.67,0.0945,0.0945,43338.67,fully executed,
2023-12-28 01:54:15,GTC,BEAMUSDT_SPBL,Buy,0.0198,208591.31,208591.31,0.0197885032068211,fully executed,
2023-12-28 01:53:05,GTC,BEAMUSDT_SPBL,Buy,0.0197,209778.85,87.54,0.019673,cancelled,
2023-12-28 01:48:28,GTC,BEAMUSDT_SPBL,Buy,0.0195,211930.43,0,,cancelled,
2023-12-28 01:47:05,GTC,BEAMUSDT_SPBL,Buy,0.019506,211865.24,0,,cancelled,
2023-12-28 01:43:35,GTC,BTCUSDT_SPBL,Sell,43569.1340569020021074,0.0949,0.0949,43569.1340569020021074,fully executed,
