Time (UTC),Symbol,Side,Amount,Order Price,Fill Price,Filled/Remaining,Value,Trigger Price,Type,Status,"ID"
2023-12-29 23:22:31,IMX / USDT,Buy,2009.71 USDT,2.3000,2.2933,2009.70 / 0.00,873.78 IMX,-,Limit,Filled,dc588d06-6835-4fad-a629-44a4e92fb10e
2023-12-29 23:21:09,BTC / USDT,Sell,0.300000 BTC,Market,41910.97,0.300000 / 0.000000,-,-,Market,Filled,0a2b4220-8839-4373-98a6-2cd3afa2ab0b
2023-12-28 19:35:40,SNX / USDT,Buy,5197.92 USDT,4.160,4.138,5197.92 / 0.00,1249.501 SNX,-,Limit,Filled,b539112e-ea1e-4cce-af06-3257b3879577
2023-12-28 19:34:11,SNX / USDT,Buy,5197.92 USDT,4.124,-,0.00 / 0.00,1260.409 SNX,-,Limit,Canceled,a085d085-a7a3-4e52-bcf1-426b2789b040
2023-12-28 19:33:23,BTC / USDT,Sell,0.100000 BTC,Market,42567.22,0.100000 / 0.000000,-,-,Market,Filled,5e457a06-5d61-4c73-8139-5245afc954bd
2023-12-28 17:28:54,PYR / USDT,Buy,4030.62 USDT,7.864,7.864,4030.61 / 0.00,512.54 PYR,-,Limit,Filled,cfd102e1-a6f8-4573-8799-e72d73928845
2023-12-28 02:40:39,TIA / USDT,Buy,4071.32 USDT,12.7000,12.6945,4071.31 / 0.00,320.576 TIA,-,Limit,Filled,9e61e82e-e31f-42c4-867d-61461d17db4c
2023-12-28 02:00:40,NEAR / USDT,Buy,4000.00 USDT,4.000,3.999,3999.99 / 0.00,1000.000 NEAR,-,Limit,Filled,ca731575-2541-479c-8a10-65cf19902a42
2023-12-28 01:59:45,NEAR / USDT,Buy,4000.00 USDT,3.988,-,0.00 / 0.00,1003.009 NEAR,-,Limit,Canceled,51964879-8ace-4a32-a3a8-18d35fd7d0f3
2023-12-28 00:24:57,BTC / USDT,Sell,0.300000 BTC,Market,43534.83,0.300000 / 0.000000,-,-,Market,Filled,9f00fd62-ca36-4b8f-af57-9702dc40e366
